ID,RecordedDate,PrimaryStatusAfterGraduation,BranchOfService,CareerMeetsExpectation,EmployingOrganization,JobTitle,State,City,Employer_Country,Compensation,Salary_range,Degree_required,Employment_offer,Employment_acceptance,Job_connection,Application_website,Other_job_connection,Graduate_School,Graduate_School_Location,Graduate_Degree_Country,Graduate_Program,Program_Type,Postgraduation_offer,CC_job_Rating,CC_Drop_in_Advising_CareerLab ,CC_Handshake_Jobs,CC_Interview_Preparation,CC_Oncampus_Interview,CC_Networking_Strategies,CC_Career_Major_Exploration,CC_Fairs_Career_Events,CC_Resume_Cover_Letter_Review,CC_Career_Assessments ,CC_Resume_Cover_Letter Review,Primary_Status_Matching_Expectations,CC_Workshops
33926,25Jun2019 20:50:30,Employed full time (on average 30 hours or more per week),,,Mercy Health,Physical Therapist,Michigan,Muskegon,,Hourly,"$65,000 - $69,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other Job Posting System (please specify),LinkedIn,,,,,,,Yes,,,,,,,,,,,,,
33927,15Jun2018 18:51:26,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,
33928,28Jan2020 11:58:00,Employed full time (on average 30 hours or more per week),,,Grand Valley State University,Assistant Director of Marketing,Michigan,"Allendale, MI",,Hourly,,An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,GVSU Alumni Network,,,,,,,,Yes,,,,,,,,,,,,Strongly Agree,
33929,04Jun2018 13:14:07,Seeking employment,,,,,,,,,,,,,,,,,,,,,Yes,Satisfied,,Satisfied,,,,Somewhat Satisfied,Somewhat Satisfied,,Somewhat Satisfied,,Strongly Disagree,
33930,31May2018 15:23:14,"Participating in a volunteer or service program (e.g., Peace Corps)",,,AmeriCorps,Volunteer,California,Sacramento,,Click to write Choice 3,,"A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months before graduation,3-6 months before graduation,Other,,AmeriCorps website,,,,,,No,,,Very Dissatisfied,,,,,,,,,,
33931,11Jul2020 7:44:00,Planning to continue education but not yet enrolled,,,,,,,,,,,,,,,,No,Michigan,,Program of i don't want to answer this question,Doctorate,,,,Somewhat Satisfied,,,,,,,,,Agree,
33932,29Nov2017 17:17:55,Employed full time (on average 30 hours or more per week),,,Senior Resources,Social Work Supports Coordinator,Michigan,Muskegon,,Hourly,"$35,000 - $39,999",An undergraduate degree is required and the position is related to my field of study,3-6 months after graduation,3-6 months after graduation,Personal Network,,,,,,,,No,Somewhat Satisfied,Satisfied,,Satisfied,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,
33933,12Jan2018 15:12:15,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,,Neutral,Somewhat Satisfied
33934,14Jan2021 16:51:00,Employed full time (on average 30 hours or more per week),,,Michigan Health Information Network Shared Services,Production Systems Analyst,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33935,19Apr2018 5:31:01,Employed full time (on average 30 hours or more per week),,,CIE USA,HR clerk,Michigan,Macomb,,Hourly,"$30,000 - $34,999","A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months after graduation,3-6 months after graduation,Personal Network,,,,,,,,,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Dissatisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,,Strongly Agree,
33936,11Jan2018 10:49:34,Seeking employment,,,,,,,,,,,,,,,,,,,,,,Dissatisfied,Somewhat Satisfied,Dissatisfied,,,,,,,Dissatisfied,,Strongly Disagree,
33937,27Jan2020 16:31:00,Employed full time (on average 30 hours or more per week),,,Michigan Spine and Brain Surgeons,Clinical Research Manager,Michigan,Southfield,,Hourly,"$30,000 - $34,999",A college degree is required but the position is not related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,Very Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,,Somewhat Satisfied,Satisfied,Dissatisfied,Satisfied,,Very Satisfied,Strongly Agree,
33938,31May2018 12:54:34,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,GVSU,Michigan,,MSW,Master's,,Somewhat Satisfied,,Satisfied,,,Satisfied,Very Satisfied,,,,Satisfied,Agree,
33939,09Oct2019 14:03:00,Employed full time (on average 30 hours or more per week),,,Solid Rock Childcare,Daycare Teacher,Michigan,Hudsonville,,Hourly,"$20,000 - $24,999",Having a college degree made no difference to me obtaining this position.,3-6 months after graduation,3-6 months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,,,,Somewhat Satisfied,,,,,,,,Somewhat Satisfied,Agree,
33940,29Jan2020 12:45:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,,,Dissatisfied,Satisfied,,,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,,Strongly Agree,
33941,27Feb2019 13:06:07,Employed full time (on average 30 hours or more per week),,,Spectrum Helath,Registered Nurse,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly Agree,Satisfied
33942,24Jul2017 13:10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33943,06Jun2019 14:57:04,Employed full time (on average 30 hours or more per week),,,Protocall services,Care associate,Michigan,Grandville,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Glassdoor,,,,,,,,Satisfied,,Satisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Satisfied,Dissatisfied,Somewhat Satisfied,,,Strongly Agree,Dissatisfied
33944,09Jun2019 10:23:10,Employed full time (on average 30 hours or more per week),,,Centria Autism,Behavior technician,Michigan,Grand Rapids,,Hourly,,"A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months before graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),,,,,,,,,Very Satisfied,,,Very Satisfied,,,Satisfied,,,,,Agree,Satisfied
33945,03Jun2020 11:37:00,Employed part time (on average less than 30 hours per week),,,SYNERGi Media,Media Assistant,Michigan,Zeeland,,Hourly,"Less than $20,000","A college degree is not required for this job, but my degree helped me to obtain it.",6+ months before graduation,6+ months before graduation,GVSU Faculty/Staff Recommendation,,,,,,,,Yes,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Very Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,,Disagree,
33946,25Jun2019 10:27:59,Employed full time (on average 30 hours or more per week),,,Moline Christian School,Technology Support / Social Studies Teacher,Michigan,Moline,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,No,,Very Satisfied,,Satisfied,Satisfied,Satisfied,,Satisfied,,,,Strongly Agree,
33947,10Jul2020 23:32:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Michigan State University,Michigan,,Speech Language Pathology,Master's,,Dissatisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,,,Satisfied,Satisfied,Satisfied,Very Satisfied,,Strongly Agree,
33948,17Oct2018 15:56:41,Employed full time (on average 30 hours or more per week),,,Belcan,Engineer,Michigan,Kentwood,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Satisfied
33949,09Jul2020 15:49:00,Planning to continue education but not yet enrolled,,,,,,,,,,,,,,,,Grand valley state university,Michigan,,Masters in social work,Master's,No,,,Somewhat Satisfied,,,,,,,,,Strongly Agree,
33950,27Feb2019 6:00:55,Employed part time (on average less than 30 hours per week),,,Munising Memorial Hospital,n/a,Michigan,Munising,,Hourly,"$95,000 - $100,00",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other,,had medical rotations at the facility,,,,,,Yes,,,,,,,,,,,,,
33951,25Jun2019 10:34:20,Employed full time (on average 30 hours or more per week),,,Epitec,Recruiter,Michigan,Southfield,,Hourly,"$45,000 - $49,999",A college degree is required but the position is not related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,,Satisfied,Very Satisfied,,,Satisfied,,Very Satisfied,Very Satisfied,,,Strongly Agree,
33952,21Nov2019 12:30:07,Employed full time (on average 30 hours or more per week),,,American Repair Maintenance,Accountant Specialist,Michigan,Spring Lake,,Hourly,"$25,000 - $29,999",Having a college degree made no difference to me obtaining this position.,3-6 months after graduation,3-6 months after graduation,Other On-line Job Posting Systems (please specify),LinkedIn,,,,,,,,Somewhat Satisfied,,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,,,Disagree,
33953,26Sep2019 11:09:00,Employed full time (on average 30 hours or more per week),,,La Porte Hospital,Physical Therapist,Indiana,La Porte,,Hourly,"$70,000 - $74,999",A graduate degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Personal Network,,,,,,,,No,,,,,,,,,,,,Agree,
33954,06Jul2020 11:48:00,Employed full time (on average 30 hours or more per week),,,Coopersville Area Public Schools,Teacher,Michigan,Coopersville,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Appitrack,,,,,,,No,,,,,,,,,Satisfied,,,Strongly Agree,
33955,06Jun2017 14:49:40,Employed full time (on average 30 hours or more per week),,Strongly Agree,General Motors,Software Developer,Michigan,Warren,,Hourly,"$65,000 - $69,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Career Fair,,,,,,,,Yes,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,,
33956,13Mar2017 20:10:19,Employed full time (on average 30 hours or more per week),,Strongly Agree,Deboer Baumann & co,Tax intern,Michigan,Holland,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,On-Campus Interview,,,,,,,,,Very Satisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,Very Satisfied,,,
33957,20Jul2017 13:24:03,Employed full time (on average 30 hours or more per week),,Agree,Caris Life Sciences,Specimen Processing,Arizona,Phoenix,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,,,,,,,Yes,Dissatisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,Very Satisfied,Very Satisfied,Very Satisfied,,
33958,25Jun2019 11:56:36,Employed full time (on average 30 hours or more per week),,,Auto Owners Insurance,Software Developer,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other,,LinkedIn,,,,,,Yes,Somewhat Satisfied,Satisfied,Dissatisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly Agree,Satisfied
33959,09Oct2019 13:35:00,Employed full time (on average 30 hours or more per week),,,FCA,Leadership Rotation Program,Michigan,Auburn Hills,,Click to write Choice 3,,A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,GVSU Career & Internship Fair,,,,,,,,No,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,,Strongly Agree,Somewhat Satisfied
33960,05Jun2020 6:50:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Keiser University,Florida,,Nursing,4-year degree,,,Somewhat Satisfied,,,,,,,,,,Neutral,
33961,28Dec2020 16:53:00,Employed full time (on average 30 hours or more per week),,,Northview Public Schools,Long Term Substitute Teacher,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33962,26Sep2019 12:35:00,Employed full time (on average 30 hours or more per week),,,TGW Systems Inc,Electrical Engineer,Michigan,Grand Rapids,,Click to write Choice 3,,A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Linkedin,,,,,,,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree,Somewhat Satisfied
33963,18Oct2017 17:03:19,Employed full time (on average 30 hours or more per week),,,Learfield Licensing,Royalty Coordinator,Michigan,Holland,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),,,,,,,,No,Dissatisfied,Satisfied,Satisfied,Very Satisfied,,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Satisfied,,,Strongly Agree,
33964,03Jun2018 7:54:56,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,MSU,Michigan,,medschool,Doctorate,No,,Satisfied,Very Satisfied,,Satisfied,,,,,,Very Satisfied,Strongly Agree,
33965,25Jun2019 9:44:37,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Ferris State College of Pharmacy,Michigan,,Pharmacy,Doctorate,,,,,Satisfied,,,Satisfied,Satisfied,,Very Satisfied,Somewhat Satisfied,Strongly Agree,
33966,23Oct2018 14:18:49,Planning to continue education but not yet enrolled,,,,,,,,,,,,,,,,University of Kentucky,Kentucky,,Sports Psychology,Master's,,,,,,,,,,,,,Agree,
33967,16Feb2019 5:52:25,Employed full time (on average 30 hours or more per week),,,"Dennis, Gartland, & Niergarth",Staff Accountant,Michigan,Traverse City,,Hourly,"$45,000 - $49,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,GVSU Career & Internship Fair,,,,,,,,No,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Somewhat Satisfied,,Very Satisfied
33968,29Jun2017 13:21:16,Employed part time (on average less than 30 hours per week),,Strongly Disagree,YMCA and Walker Ice and Fitness,Health and Wellness Specialist and Member Service Representative/Manager on Duty,Michigan,Grandville and Walker,,Hourly,"Less than $20,000","A college degree is not required for this job, but my degree helped me to obtain it.",6+ months before graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,Satisfied,Very Satisfied,Very Satisfied,Satisfied,,,,Somewhat Satisfied,,Somewhat Satisfied,Satisfied,,
33969,04Jun2020 10:23:00,Employed full time (on average 30 hours or more per week),,,Spectrum health,Registered nurse,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Spectrum careers,,,,,,,Yes,Very Satisfied,Somewhat Satisfied,,Very Satisfied,,,Very Satisfied,,,,,Strongly Agree,
33970,06Jun2019 16:49:56,Employed full time (on average 30 hours or more per week),,,Spectrum health,Medical laboratory scientist,Michigan,Grand Rapids,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Spectrum website,,,,,,,Yes,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Agree,
33971,03Jun2020 10:55:00,Employed full time (on average 30 hours or more per week),,,Herman Miller,IT Analyst,Michigan,Zeeland,,Hourly,"$75,000 - $79,999",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,Other Job Posting System (please specify),,,,,,,,Yes,,,,,,,,,,,,Strongly Agree,
33972,22Jan2021 12:44:00,Employed full time (on average 30 hours or more per week),,,Amphenol Borisch Technologies,Cost Analyst,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33973,05Oct2016 8:21:50,Employed full time (on average 30 hours or more per week),,Strongly Agree,Jacobs Technology Services,Autonomous Vehicle Test Engineer,Michigan,Dearborn,,Hourly,"$60,000 - $64,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),"Monster, Indeed, etc...",,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,,,,
33974,21Jun2018 12:47:07,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,GVSU,Michigan,,Biology,Master's,Yes,,,,,,,Very Satisfied,Satisfied,,,Satisfied,Strongly Agree,
33975,18Sep2016 7:45:59,Employed part time (on average less than 30 hours per week),,,Sparrow Hospital,Physical Therapist (Pediatric),Michigan,Lansing,,Hourly,Greater than $100,A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months after graduation,Other,,Clinical Advisor at Sparrow,,,,,,No,,,,,,,,,,,,,
33976,06Jul2020 11:49:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,Somewhat Satisfied,Satisfied,Very Satisfied,,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,,Neutral,Satisfied
33977,22Jun2018 14:39:02,"Participating in a volunteer or service program (e.g., Peace Corps)",,,AmeriCorps,VISTA,Michigan,"Detroit, MI",,Click to write Choice 3,,A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,No,Very Satisfied,Satisfied,Very Satisfied,,,Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,,,Strongly Agree,Satisfied
33978,07Jun2019 10:07:33,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,Somewhat Satisfied,Somewhat Satisfied,,,,Satisfied,,,,Satisfied,Disagree,
33979,06Jun2019 14:07:45,Employed full time (on average 30 hours or more per week),,,Detroit Red Wings,Inside Sales Account Executive,Michigan,Detroit,,Hourly,"$20,000 - $24,999",A college degree is required but the position is not related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,Very Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly Agree,Somewhat Satisfied
33980,14Feb2019 13:28:51,Employed full time (on average 30 hours or more per week),,,TEKSystems,Contractor,Michigan,Grand Rapids,,Hourly,"$25,000 - $29,999",Having a college degree made no difference to me obtaining this position.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,,,,Dissatisfied,,,,,,,,,Strongly Agree,
33981,03Jun2020 10:53:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Eastern Michigan University,Michigan,,History,Master's,,,,,,,,,,,,Satisfied,Strongly Agree,
33982,25Jun2018 10:39:57,Employed full time (on average 30 hours or more per week),,,Watermark Properties,Sales Manager,Michigan,Grand Rapids,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Somewhat Satisfied
33983,03Dec2020 10:06:00,Employed full time (on average 30 hours or more per week),,,CloudData Technology,Controls Engineer,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,
33984,05Jan2021 17:10:00,Employed full time (on average 30 hours or more per week),,,Athleticare Sports Health Foundation,Athletic Trainer,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33985,25Jun2019 11:51:27,Employed full time (on average 30 hours or more per week),,,Quicken Loans,Associate Recruiter,Michigan,Detroit,,Hourly,"$45,000 - $49,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months before graduation,0-3 months before graduation,GVSU Alumni Network,,,,,,,,Yes,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,,,Very Satisfied,Very Satisfied,Very Satisfied,,,Strongly Agree,
33986,28Jan2020 11:40:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand valley State University,Michigan,,MA Applied Linguistics,Master's,,,,Satisfied,,,Satisfied,Satisfied,,,,Satisfied,Strongly Agree,
33987,09Jun2019 9:51:49,Employed full time (on average 30 hours or more per week),,,Blue Cross Blue Shield Association,Performance Reporting Intern,Illinois,Chicago,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Personal Network,,,,,,,,No,Satisfied,Somewhat Satisfied,,,,,,,Satisfied,,,Agree,
33988,12Jan2021 11:00:00,Employed full time (on average 30 hours or more per week),,,Meyering Insurance Agency Inc.,Customer Service Representative,Michigan,Zeeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33989,25Jun2019 9:38:11,Employed full time (on average 30 hours or more per week),,,Ascension St. John Hospital,Registered Nurse,Michigan,Detroit,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Hospital Career Portal,,,,,,,No,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly Agree,Satisfied
33990,12Dec2018 15:02:03,Employed full time (on average 30 hours or more per week),,,Herman Miller,Engineer,Michigan,Spring Lake,,Hourly,"$65,000 - $69,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,GVSU Career & Internship Fair,,,,,,,,Yes,Satisfied,,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,,Strongly Agree,
33991,14Feb2019 14:11:47,Employed part time (on average less than 30 hours per week),,,Eisenhower Center,Registered Dietitian,Michigan,Ann Arbor,,Hourly,"$25,000 - $29,999",An undergraduate degree is required and the position is related to my field of study,0-3 months after graduation,0-3 months after graduation,Other Job Posting System (please specify),Glassdoor,,,,,,,No,,,Satisfied,,,,,,,,,,
33992,18Jan2017 21:17:32,Employed part time (on average less than 30 hours per week),,Disagree,North End Community Ministry,Supper House Coordinator,Michigan,Grand Rapids,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),mLive,,,,,,,No,,,,Dissatisfied,,,,Satisfied,Somewhat Satisfied,,Very Dissatisfied,,
33993,03Jun2020 11:38:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Social Work,Master's,No,Very Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,Dissatisfied,Strongly Agree,Somewhat Satisfied
33994,20Oct2017 13:43:30,Employed full time (on average 30 hours or more per week),,,Keswick Hall and Golf Club,Recreation Supervisor,Virginia,Keswick,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,No,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,Satisfied,Satisfied,Satisfied,Satisfied,,,Strongly Agree,Satisfied
33995,06Jun2019 13:49:12,Employed full time (on average 30 hours or more per week),,,Resilience: Advocates for Ending Violence,Trauma Therapist,Michigan,Holland,,Hourly,"$40,000 - $44,999",A graduate degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Other,,MSW Field Placement,,,,,,Yes,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied
33996,08Apr2019 17:50:24,Employed full time (on average 30 hours or more per week),,,Plante Moran,Assurance Staff,Michigan,Kalamazoo,,Hourly,"$50,000 - $54,999",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,GVSU On-Campus Interview,,,,,,,,No,,,,,,,,,,,,,
33997,29Aug2016 2:25:27,Employed full time (on average 30 hours or more per week),,,,,,,,Hourly,"$30,000 - $34,999",A graduate degree is required but the position is not related to my field of study.,0-3 months after graduation,0-3 months before graduation,Career Center On-line Recruiting System (LakerJobs),,,,,,,,Yes,,,,,,,,Very Dissatisfied,Somewhat Satisfied,,,,
33998,26Sep2019 17:13:00,Employed full time (on average 30 hours or more per week),,,Kent City Community Schools,Middle School Teacher,Michigan,Kent City,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Appl-Track,,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
33999,12Feb2020 20:16:00,Employed full time (on average 30 hours or more per week),,,"Plante Moran, PLLC",Staff Accountant,Michigan,Traverse City,,Hourly,"$50,000 - $54,999",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,GVSU Faculty/Staff Recommendation,,,,,,,,Yes,Very Satisfied,,Very Satisfied,,Very Satisfied,,,Very Satisfied,,,,Strongly Agree,
34000,14Jan2018 19:09:37,Employed full time (on average 30 hours or more per week),,,Auto Owners,Software Developer,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,Career Fair,,,,,,,,,,,,,,,,Very Satisfied,,,,,
34001,25Jan2018 15:03:12,Employed full time (on average 30 hours or more per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,
34002,02Jul2018 17:58:29,Employed full time (on average 30 hours or more per week),,,JDA Worldwide,Account Coordinator,Indiana,Carmel,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Personal Network,,,,,,,,Yes,Very Satisfied,Somewhat Satisfied,,Very Satisfied,,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,Strongly Agree,
